rank,gene,DEI_tpc,tpc_t_excess_edits,cum_frac_burden,frac_genes
1,TTN,4.266950234904999e-05,160.1878402521931,0.0029212325336927815,5.3174518770605124e-05
2,MUC6,0.0003296885931655376,159.62169957843355,0.005832140759671386,0.00010634903754121025
3,LRP1,0.00021216660274139782,115.21070862063384,0.00793315710225103,0.0001595235563118154
4,MUC16,5.3769021417058536e-05,101.5309677614033,0.009784705670076006,0.0002126980750824205
5,CELSR3,0.00012937147289639693,70.38028057067918,0.011068181151172514,0.0002658725938530256
6,SYNE1,5.931354014451117e-05,67.11119469960934,0.012292040621547045,0.0003190471126236308
7,STARD7,0.0016173695689465043,66.0,0.013495636018801825,0.0003722216313942359
8,MUC19,8.064323548838853e-05,64.24556255712156,0.014667236979222968,0.000425396150164841
9,KALRN,0.00018033150129188628,64.19801445991152,0.01583797083856911,0.00047857066893544615
10,METTL21A,0.0024964893119051334,64.0,0.01700509364802829,0.0005317451877060512
11,POLE,0.00013935771079679526,60.47957419327959,0.01810801693783072,0.0005849197064766564
12,SRCAP,8.395172829523062e-05,60.36498652031581,0.019208850573151918,0.0006380942252472616
13,FMN2,0.00015914358369895125,60.35345353840656,0.020309473889625496,0.0006912687440178666
14,ZNF280B,0.0008986340762041696,60.0,0.021403651523493477,0.0007444432627884718
15,PNPLA7,0.0003057422540977235,59.0,0.02247959286346366,0.0007976177815590769
16,ANK1,0.00022343660649026535,59.0,0.023555534203433842,0.000850792300329682
17,GCK,0.0008014631159961571,58.562909885839204,0.024623504639622366,0.0009039668191002871
18,MOB3C,0.0020354512893233073,58.43577106518283,0.025689156534911578,0.0009571413378708923
19,TAMALIN,0.0013288123167155424,58.0,0.02674686158098396,0.0010103158566414974
20,RRBP1,0.0003216193327898478,57.166549926064285,0.027789367586558908,0.0010634903754121025
21,EXOC8,0.00032231885392624654,56.0,0.028810600044835693,0.0011166648941827075
22,PCNT,9.435205245522149e-05,55.62704521397248,0.029825031190023884,0.0011698394129533128
23,COL5A1,0.00023366173427987578,55.0,0.03082802735440287,0.0012230139317239179
24,NSD1,0.00012221492393281637,51.13203544516386,0.03176048618037359,0.0012761884504945231
25,ESRRB,0.0007508612820588321,51.0,0.03269053716916137,0.0013293629692651282
26,H3-3A,0.002073513660081696,49.897032716205935,0.03360047412240223,0.0013825374880357332
27,MYLK3,0.00043160398132652164,49.0,0.034494052523394415,0.0014357120068063385
28,TACC2,0.00011215787515709179,48.56077089101572,0.03537962101326669,0.0014888865255769435
29,PKD1L2,0.00015981378030809933,48.37275465121612,0.03626176078373243,0.0015420610443475486
30,MAP3K4,0.0002467737352166464,48.004647937959014,0.03713718765198945,0.0015952355631181539
31,CHD3,0.00019259009605431042,48.0,0.03801252975908384,0.001648410081888759
32,TTC21A,0.0002233119015938887,48.0,0.038887871866178224,0.001701584600659364
33,GNB3,0.0009776032738124869,47.49489985163205,0.039754002818519145,0.0017547591194299692
34,DNAH10,6.462890264903403e-05,47.39075858997043,0.04061823462020553,0.0018079336382005743
35,ABCA7,0.00017870151405976808,47.25243304919793,0.0414799438766768,0.0018611081569711793
36,SLC5A6,0.0005927009508436531,47.0,0.04233704968987339,0.0019142826757417846
37,STT3A,0.0007476932866687878,47.0,0.04319415550306997,0.00196745719451239
38,AP3D1,0.0002352342906183137,46.26752691884427,0.04403790372188638,0.002020631713282995
